id,AMBEO Augmented Audio Lab,AmiKasa,Angry Birds,Angry Birds FPS,BMW Head-up Display,Civilisations AR,Curate,Dr G Invaders,FlippyFriendsAR,Fragments,Galaxy Explorer,GIPHY World,Google Maps,Google Translate,Holo,HoloAnatomy,HoloHuman,HoloTour,Houzz,IBM,IKEA place,Just a line,Magic Leap Create,Mondly,Obsess ,Pok_mon Go,PresentAR,Quiver,SeeSignal,Sephora Virtual Artist,Sky View,Skylight,Snapchat,Spatial.io,Spatial.io,Virtual training programs,Vision Picking,WallaMe,Wanna Kicks,WorkLink,WSJ Stock Data
people_occlusion,yes.,no.,no.,yes.,yes.,no.,yes.,yes.,no.,yes.,yes.,no.,no.,no.,no.,yes.,yes.,yes.,no.,yes.,no.,no.,yes.,no.,yes.,yes.,yes.,no.,yes.,no.,no.,no.,no.,yes.,yes.,yes.,yes.,no.,possible. can only occulation part of body,yes.,yes.
multi_object_tracking,no.,no.,no.,no.,yes.,no.,no.,possible.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,yes.,no.,no.,no.,yes.,no.,yes.,yes.,no.
depth_sensing,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,no.,yes.,yes.,yes.,no.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.
light_estimation,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.
voice_recognition,yes.(only recording),no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,yes.,yes.,yes.,no.,yes.,no.,no.,no.,yes.,no.,no.,yes.,no.,no.,no.,no.,yes.,no.,yes.,yes.,yes.,yes.,no.,no.,yes.,no.
hand_control,yes.,no.,yes.,yes. ,yes.,yes.,yes. ,yes. ,yes.,yes. ,yes. ,no.,no.,no.,no.,yes.,yes. ,yes.,no.,no.,no.,yes.,yes. ,yes.,yes.,yes.,yes. ,no.,yes. ,no.,no.,no.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.
eye_tracking,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,no.,yes.,no.,no.,no.,no.,no.,no.,no.,yes. change color and size of eyes,no.,no.,no.,no.,no.,no.,no.,no.
spatial_anchor,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,no.,yes.,yes.,yes.,no.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,no.,no.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,yes.
show_2d_content,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.
show_3d_content,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,no.,no.,yes.,yes.,yes.,yes.,no.,no.,yes.,yes.,yes.
extended_tracking,yes.,no.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.,yes.,yes.,no.,no.,no.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,yes.,no.,yes.,no.,yes.,no.,yes.,no.,no.,no.,no.,yes.,yes.,yes.,no.,yes.,yes.,yes.,yes.
