name,type,description,company,official_link,price,how_to_buy,use_cases,customer_segment,related_softwares,related_hardwares,documentation_link,popularity,release_date,version,compatibility,operating_system,weight,dimension,resolution,field_of_view,possible_interactions,limitations,notes
Rokid_Project_Aurora,Hardware,"Rokid Project Aurora is a wearable Mixed Reality (MR) accessory for mobile devices. As a combination of Rokid’s state-of-the-art binocular optics, AR and AI capabilities, Rokid Vision extends existing user interfaces (including phones, laptops, gaming consoles, and tables), to greatly improve productivity, entertainment, and gaming experience.",Rokid,https://www.rokid.com/en,less than $500,through manufacture,"Daily wear and use, game & entertainment, remote assistance","Consumers, enterprise",,,,,2019,,Android,,120g,,1280 x 960,33,"gesture recognition, voice commands, touchpad",,capable of face recognition and object recognition using SLAM Corrective lenses available
Tesseract_Holoboard_Premium_Edition,Hardware,"The Tesseract Holoboard Premium Edition is an augmented reality headset for smartphones by Tesseract, a manufacturer based in India. This device is compatible with smartphones running Android 6.0 and above with OTG (on-the-go) support. Smartphones must also feature a Snapdragon 805 processor or above in order for this device to operate. The Holoboard Premium Edition uses IMU (inertial measurement unit) based tracking as well as proprietary marker-based tracking that makes use of the phone’s front camera. This allows users to interact and place 3D content within the area directly around them.",Tesseract,https://myholo.io/,$249,online,"Games & Entertainment, Training, Architecture",consumers,Unity,"enterprise edition(same as premium but doesn’t have hand tracking module), basic edition (no hand tracking, 3dof controller, compatible with iOS)",,,2018,Holoboard Premium Edition,"Android 6.0 and above, iOS",,235g,154 x 184 x 110 mm,,82,hand tracking,tethered,Usable with glasses
Aryzon_AR_Headset,Hardware,affordable cardboard AR headset using smartphone,Aryzon,https://www.aryzon.com/,$33,online,Games & Entertainment,consumers,Aryzon Unity SDK,Smart phones,https://www.aryzon.com/creators,,2018,1,"Android, iOS",,381g,140 x 170 x 120mm,,35,,low resolution,Open source SDK
Mira_Prism,Hardware,"The Mira Prism is an augmented reality headset for smartphones made by Mira, a company based in Los Angeles, US. This smartphone AR headset boasts a lightweight design, therefore offering users a comfortable experience. The headset displays AR content by directly reflecting the smartphone’s screen onto a clear lens, hence making it easy for the user to see the content. Users praise the quality of the holograms and also appreciate the affordable price of this 60° FOV augmented reality headset. The AR headset comes with spare replacement lenses.",Mira,https://mirareality.com/,$99,online,"Remote assistance, game & entertainment","Consumers, enterprise",Workflow builder (on its website),Smart phones,,,2017,,iOS,,,,1334 x 750,60,3dof controller,low resolution,
Realmax_Qian,Hardware,"The RealMax Qian is a standalone AR headset with a wide FOV made by RealMax, a tech startup based in China. According to RealMax, this wireless augmented reality head-mounted display (HMD) can also alter between VR and AR modes. Furthermore, the Qian features inside-out tracking. The AR headset is packed with power, featuring 4GB RAM, a Qualcomm 835 chip, and 64 GB Flash. The Qian headset features some great specs such as 6DoF tracking, a 100.8-degree FOV and 720p resolution. However, no hand tracking is available although an add-on gesture sensor (such as Leap Motion) could be added to allow for this.",RealMax,http://www.realmax.com/index.php?l=en,less than $1000,coming soon,Game & entertainment,education,,,,,2019,Qian,,,510g,230 x 190 x 120mm,720,101,"3dof controller, 6dof",,
Antvr_Mix,Hardware,"AR/VR hybrid The ANTVR MIX is a tethered AR headset made by ANTVR, a manufacturer based in Beijing, China. Contrary to most other augmented reality glasses on the market, the MIX requires a constant cable connection to a PC. These AR glasses are small and lightweight (130g) while providing a relatively large FOV of 96° thanks to ANTVR’s proprietary, dual-channel mixed optics. It ships with 3DoF controllers but 6DoF may be available in the future. Content-wise, the MIX is compatible with SteamVR and its large variety of VR applications. This means that users can play VR games (ones that have a dark background) in AR. Outside-in or inside-out tracking Front camera, built in microphone",ANTVR,http://www.antvr.com/en/,$649,online,game & entertainment,,,,,,2018,Mix,"Leap Motion, HTC Vive tracking systems",Microsoft Windows,130g,162.4 × 54 × 32.5 mm,2400 × 1200 px (per eye),96,"2 3dof controllers, hand tracking, eye tracking, 6dof",,usable with glasses
Shadow_Creator_Action_One,Hardware,"The Shadow Creator Action One are augmented reality glasses by Shadow Creator, a manufacturer based in China. Users can use gesture control or a remote control to interact with augmented reality content, thus allowing for easy AR interaction. The FOV of the Action One is 45°. Inside out tracking",Shadow Creator,http://www.shadowcreator.com/actionone/actionone.html,"$1,000",online,,,,,,,2018,,,,,,720px,45,gesture control,,
Google_Glass_Enterprise_Edition_2,Hardware,"“Glass Enterprise Edition 2 is a wearable device that helps businesses improve the quality of their output, and help their employees work smarter, faster and safer. It provides hands-on workers and professionals with glanceable, voice-activated assistance that is designed to be worn all day with its comfortable, lightweight profile.”",Google,https://www.google.com/glass/start/,"$1,800",contact the sales team,"remote assistance, training",enterprise,"Voice Commands, runs on Android Open Source Platform",,https://developers.google.com/glass-enterprise/guides/get-started,new,,2,,Android Oreo,46g,,640 x 360 Optical Display Module,,"Voice commands, Multi-touch gesture touchpad, Power-saving features On head detection sensor, and Eye-on screen sensor",no hand tracking and not designed to be immersive,
Everysight_Raptor,Hardware,"Sport Heads-up display Glass itself can have professional wind protection 8 hours battery life Main features shown: HRM(Heart Rate), Controller, Speed, Cadence, Power. Dust and water resistant Raptor’s heads-up route display provides real-time navigation guidance for road and MTB riders, with free maps available worldwide. No stops. No wrong turns. No added charges. Just ride. Raptor connects to your smartphone via Bluetooth so you’re always on top of emails, texts, schedules, and more. Built-in microphone and speaker.",Everysight,https://everysight.com/,$649,online,sports info display,sports,"Everysight Smartphone Companion App (IOS, Android)",,,,2018,,"iOS, Android Directly links up with phones, sensors and peripherals via ANT+ / Bluetooth Smart technology. Built-in Wi-fi, so one can easily syn workouts, routes, pics, videos, and more via the Everysight app.
",Android 5.1.1 Lollipop,98g,,,,"touchpad or bluetooth controller Raptor is controlled via an integrated touchpad in the frames, supporting familiar swipe and tap gestures, even when one is wearing gloves. Voice control is also available for key actions like recording a video, taking a pic, and adjusting volume/ brightness.",see what I wrote,
Toshiba_DynaEdge_AR100,Hardware,"DynaEdge™ AR Smart Glasses is a wearable, hands-free Augmented Reality solution designed to help large enterprises improve efficiency, quality and operating flexibility. Backed by decades of mobile computing design expertise, our AR offering delivers a complete solution, incorporating both hardware and software in one turnkey package.",Toshiba,https://us.dynabook.com/smartglasses/,from $2399 to $2899,online,"The dynaEdge™ AR Smart Glasses enable multiple usage scenarios, including See-What-I-See, Remote Expert, Document Retrieval, Workflow Instructions and Real-Time Data Capture, making it the enterprise solution for tomorrow—starting today.",enterprise,Dynabook Vision DE Suite™ 3.0,,,,2018,,"“Armed with the latest Wi-Fi®, Bluetooth® and GPS technologies, the dynaEdge™ AR Smart Glasses can connect to the corporate network, send and receive data, stream live video and track assets.”",Windows 10 Pro,47,,Display Resolution: 640x360; Content Resolution: 1280x720,,A touchpad and programmable buttons on the HMD and directional buttons on the waist-mounted processor. Advanced software options enable voice and gesture capabilities.,,"The company said the glass is Untethered, but there is a computing unit. Equipped with a high-resolution camera, the dynaEdge™ AR Smart Glasses can record and live stream video, take photos and scan barcodes."
Varjo_XR1,Hardware,"XR-1 Developer Edition is a professional mixed reality device for engineers, researchers and designers who are pioneering a new reality. With photorealistic visual fidelity, ultra-low latency and integrated eye tracking, the XR-1 seamlessly merges virtual content with the real world for the first time ever.",Varjo,https://varjo.com/products/xr-1/,"$9,995.00",online,Game & Entertainment,"consumers, developers","Unity, Unreal Engine, Open XR",,https://developer.varjo.com/,,,XR-1,PC,windows 10,1050g,, 1920 x 1080,87,Eye Tracking,Tethered to PC,"VR+AR, can also be worn by people who wear glasses"
Lightform,Hardware,Structured light scanning on most non reflective surfaces. and project. LFC kit: Attachable camera system for existing projector LF2: full-fledged AR projector,Lightform,https://lightform.com/?gclid=CjwKCAjw4KD0BRBUEiwA7MFNTZMVcDc-LMS87ti4mFv5g2bBhvzdybIVHcepzu9audV8_oQeiEFXLRoCNTUQAvD_BwE,$798,online,"Creating a projected AR experience, Creating interactive AR experience based on OSC commands from any device","consumers, artists & designers",,"Laptop for creation, mobile for controls, projectors for projection",https://guide.lightform.com/hc/en-us,,2014,2nd iteration,,"Lightform creator: windows 10, mac 10.3+",5.1lbs,"8,26, 7.87, 4.13",1920 x 1080,,Not much. Controls for animation playback (no gesture support of any kind),"No multi-projector support, No real-time scanning-projection, No gesture, LF2 has a minimum focus distance of 3ft, throw ratio of 1.2. It can scan up to 6 ft wide in normal lighting, 12ft wide in a dark room. Scanning glass, mirrors, and highly reflective objects will result in scan holes. Scanning process takes 60-90 seconds, so real-time tracking is not possible.",
Bose_Frames_Alto_Rondo,Hardware,"A first-of-its-kind audio augmented reality platform, which combines the power of wearable audio products, mobile devices and integrated apps.",Bose,https://www.bose.com/en_us/products/frames.html,$199.95,online,Daily wearable,consumers,"Bose Connect, Bluetooth, Bose AR (audio)",,https://www.bose.com/en_us/support/products/bose_speakers_support/bose_wearables_speakers_support/bose-frames-alto/manuals_downloads.html,,Jan 2019,1,"iOS devices only (Android under dev, which no news)",,1.58 oz,51 mm – 16 mm – 155 mm (Lens width – Distance between lenses – Temple length),,,One-button interaction,"Not really for use indoors since they are sunglasses, only sound",Works with prescription lens
Zungle_Viper,Hardware,Bone-induction audio sunglasses,zungle,https://www.zungleinc.com/collections/viper,$139.99,online,"Daily wearable, Running, hiking, biking Hearing navigation, Calls, talking to assistants",consumers,"Siri, Google Assistant",,,,2018,2,Phones with bluetooth,,50g,,,,All interactions through mobile (purely for music),,Reviews suggest that sound quality can be much better especially when there’s wind
Vue_Glasses,Hardware,Everyday smart audio glasses,Vue,https://vueglasses.com/,$299,online,Daily wearable,consumers,,Android and iOS,,,2016,,,,28g,52 - 19 - 138,,,"You can set gestures on the glasses that allow you to do a range of things like pick up/hang up phone calls, change songs, turn up volume, etc.",,
Echo_Frames,Hardware,"The Echo Frames are an interesting low-cost take on the smart spectacles, which save cost by focusing on audio only. Meet Echo Frames - All-day glasses with hands-free access to Alexa.",Amazon,https://www.amazon.com/Echo-Frames/dp/B01G62GWS4,$180,online,Daily wearable,consumers,Amazon Alexa App,,,,Sep 2019,1,iOS and Android devices,,31g,54 -18 -145 mm,,,Single button control Able to use Google Assistant through selected devices,Echo Frames are not currently compatible with iOS smartphones. And limited/selected Android devices,
Tactsuit,Hardware,"Tactsuit creates a new way to experience virtual reality, a physical interface between the virtual world and a user’s skin.",bHaptics Inc,https://www.bhaptics.com/tactsuit/,Tactot (Body piece): $500; Tactosy for Arms (both arms): $250; Tactosy for Hands (both hands): $250; Tactosy for Feet (both feet): $250,"online, only TACTOT (Haptic Vest) is available to B2C (Consumer) clients. Other haptic devices are supposed to be used only for B2B (Enterprise) clients.
","Gaming, Training, LBVR, Home Entertainment (theater, Concerts, movies)",consumers,,,https://www.bhaptics.com/support/,,2017,,"compatible with the HP Omen PC, Zotac and other wearable PCs",bHaptics Designer,1.7kg,26 - 50 inch,,,"Suit, so pretty much everything that is in contact with the sensors will be tracked",,
Vest_Pro_Strap,Hardware,"Meet Vest Pro. Woojer’s bone-shaking, location-specific haptic vest. Vest Pro delivers sensations, so powerful & so accurate, it’ll raise everything from your pulse, right through to the tiny little hairs on the back of your neck…",Woojer,https://www.woojer.com/vest/,Vest Pro: $599; Strap: $250,online,"Gaming, Home Theater (Movies, music), Helping hearing-impaired people feel music/vibration, training",,,,,,"Oct 8th, 2018",,"Optional PC Rig, App through Android & iOS","Unity SDK, Unreal SDK",2.75kg,,,,"All torso, hand movement",,
